id	valve_module_part_number	valve_module_revision_number	pcb_article_number	pcb_revision	pcb_manufacturing_year	pcb_manufacturing_week	pcb_serial	idle_current_24v	idle_current_3v	solenoid1_current	solenoid2_current	solenoid3_current	solenoid4_current	solenoid5_current	solenoid6_current	solenoid7_current	solenoid8_current	test_date	test_person_id
1	132465	E	1121130	01	24	01	0001	6	2	433	427	426	414	399	443	427	447	2023-03-23 00:00	Mats
2	133398	F	1121130	01	24	17	0123	7	1	422	0	412	0	428	390	437	426	2023-01-13 00:00	Mats
3	133604	G	1121130	01	23	15	4453	8	1	0	440	432	420	395	403	449	424	2023-04-12 00:00	Ylva
4	133605	E	1121130	01	23	12	1232	4	2	396	422	0	433	0	410	419	391	2023-01-24 00:00	Mathias
5	133606	E	1121130	01	23	11	4578	3	3	432	399	419	0	0	406	0	431	2023-02-06 00:00	Mathias
6	133607	E	1121130	01	24	52	1235	5	1	0	404	396	432	422	438	437	422	2022-12-11 00:00	Mats
7	133608	D	1121130	02	23	26	3354	6	2	420	390	409	419	447	426	411	398	2023-03-31 00:00	Michael
8	133612	E	1121130	02	22	51	1988	7	2	412	432	403	428	433	414	435	407	2023-03-08 00:00	Ylva
9	133613	H	1121130	02	23	47	0033	11	3	440	396	405	421	442	412	0	423	2023-03-06 00:00	Michael
10	132465	E	1121130	02	23	11	2366	6	4	460	420	496	473	490	453	420	449	2022-12-21 00:00	Michael
11	132465	E	1121130	02	22	03	1439	3	2	405	427	480	458	406	470	419	407	2023-02-28 00:00	Michael
12	132465	E	1121130	01	22	46	1269	9	1	491	426	461	486	395	414	415	447	2023-03-21 00:00	Michael
13	132465	E	1121130	01	23	14	1079	11	1	407	437	425	393	441	482	465	446	2023-06-04 00:00	Michael
14	132465	E	1121130	01	23	11	1176	11	3	480	474	434	440	490	498	427	416	2023-06-13 00:00	Michael
15	132465	E	1121130	02	24	39	1829	6	2	399	496	467	424	436	431	415	466	2023-03-11 00:00	Michael
16	132465	E	1121130	02	23	17	3469	6	4	445	408	440	498	434	441	490	432	2022-12-17 00:00	Michael
17	132465	E	1121130	01	24	47	3169	8	2	439	496	476	463	464	392	406	442	2022-12-06 00:00	Michael
18	132465	E	1121130	02	24	46	2755	11	2	477	414	428	456	481	394	454	410	2023-01-06 00:00	Michael
19	132465	E	1121130	02	22	33	0066	11	4	438	427	445	440	392	474	487	429	2023-06-19 00:00	Michael
20	132465	E	1121130	01	22	31	1426	9	4	392	426	401	500	445	419	415	482	2023-05-19 00:00	Michael
21	132465	E	1121130	02	23	42	2523	10	1	438	458	475	440	500	441	468	470	2023-01-15 00:00	Michael
22	132465	E	1121130	02	22	41	1850	4	3	393	402	420	458	434	410	485	498	2022-12-30 00:00	Michael
23	132465	E	1121130	01	24	50	0197	7	3	443	472	480	432	484	486	462	486	2023-06-11 00:00	Michael
24	132465	E	1121130	02	23	12	3217	7	1	452	455	451	395	462	400	479	403	2023-06-22 00:00	Michael
25	132465	E	1121130	01	24	05	1431	6	2	423	412	424	470	429	391	482	442	2023-04-11 00:00	Michael
26	132465	E	1121130	01	23	48	0180	9	4	428	420	486	421	487	424	459	417	2023-06-08 00:00	Michael
27	132465	E	1121130	01	24	36	3637	4	4	500	483	397	479	407	399	413	390	2023-05-06 00:00	Michael
28	132465	E	1121130	02	23	19	3701	11	4	467	424	419	484	440	430	480	488	2023-06-13 00:00	Michael
29	132465	E	1121130	02	23	01	1536	5	3	438	452	494	433	494	458	475	435	2023-05-30 00:00	Michael
30	133398	F	1121130	02	23	13	1957	7	4	480	392	488	421	488	449	395	432	2023-05-19 00:00	Ylva
31	133398	F	1121130	01	24	45	0912	7	4	413	462	488	451	447	398	394	435	2023-03-04 00:00	Ylva
32	133398	F	1121130	02	23	01	0978	9	2	460	467	482	437	425	395	473	495	2023-03-18 00:00	Ylva
33	133398	F	1121130	01	24	43	3051	8	1	443	434	494	459	407	454	426	414	2023-02-01 00:00	Ylva
34	133398	F	1121130	01	22	11	0712	8	3	425	474	494	488	477	427	403	453	2023-05-12 00:00	Ylva
35	133398	F	1121130	02	22	49	1848	8	1	491	396	491	480	462	435	452	437	2022-12-21 00:00	Ylva
36	133398	F	1121130	02	23	31	0060	8	4	452	397	483	421	417	477	420	484	2022-12-18 00:00	Ylva
37	133398	F	1121130	01	22	51	2918	3	4	481	425	470	498	438	396	404	440	2023-04-23 00:00	Ylva
38	133398	F	1121130	01	24	40	1294	4	1	493	471	472	402	458	490	426	397	2023-01-04 00:00	Ylva
39	133398	F	1121130	01	22	34	0864	4	2	470	465	421	496	422	423	406	396	2022-12-27 00:00	Ylva
40	133398	F	1121130	01	24	51	0520	6	1	417	392	414	489	446	400	467	494	2023-04-08 00:00	Ylva
41	133398	F	1121130	01	22	45	0568	10	2	438	402	496	405	497	490	395	468	2023-05-12 00:00	Ylva
42	133398	F	1121130	02	22	32	0219	10	3	492	498	392	410	454	482	456	490	2023-05-08 00:00	Ylva
43	133398	F	1121130	01	22	20	1427	10	4	426	498	468	491	444	493	439	489	2023-04-22 00:00	Ylva
44	133398	F	1121130	01	22	35	0899	10	2	461	484	451	491	484	488	466	462	2022-12-07 00:00	Ylva
45	133398	F	1121130	02	24	50	1917	8	1	453	457	459	429	451	406	459	491	2023-04-08 00:00	Ylva
46	133398	F	1121130	02	23	28	2616	9	3	498	475	419	471	407	447	443	421	2023-04-05 00:00	Ylva
47	133398	F	1121130	01	22	14	1553	6	4	452	407	402	484	425	435	394	409	2023-06-21 00:00	Ylva
